,number,value,datetime_start,datetime_complete,duration,params_dropout,params_gamma,params_lambda_adv,params_lambda_contrast,params_learning_rate,params_min_lr,params_momentum,params_optimizer,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0,0.13513513513513514,2024-12-23 03:20:02.740345,2024-12-23 03:21:38.438295,0 days 00:01:35.697950,0.2730156140928276,0.3574098773544132,0.5444572501590986,0.7884668591504737,0.0025548788869477444,,0.861623906374139,sgd,step,35.0,,3.115172658388044e-05,PRUNED
1,1,0.8648648648648649,2024-12-23 03:21:38.474297,2024-12-23 03:23:23.408219,0 days 00:01:44.933922,0.21634408465975996,0.1254670721338901,0.42161161708431205,0.49667607847342965,0.006794033572742075,,,adam,step,16.0,,1.3943058728011805e-05,COMPLETE
2,2,0.13513513513513514,2024-12-23 03:23:23.471217,2024-12-23 03:24:41.939177,0 days 00:01:18.467960,0.32387377683185936,0.41723727650678744,0.13834018409003737,0.5665088575583499,0.0013382882464774161,,0.8946491827000532,sgd,step,30.0,,4.361391431340231e-05,PRUNED
3,3,,2024-12-23 04:20:07.759804,2024-12-23 04:31:54.869921,0 days 00:11:47.110117,0.23414851230899872,,0.3861236332557173,0.31850239891776155,0.006060713194931493,1.254925244898698e-05,0.9064305856811499,sgd,cosine,,19.0,0.00015444796567527257,FAIL
4,4,,2024-12-23 04:33:07.284506,2024-12-23 07:15:12.147175,0 days 02:42:04.862669,0.20855124694090202,,0.7592052452499212,0.5722598849101976,0.001424823390940575,1.3856458408857643e-06,,adam,cosine,,9.0,1.8785222223999923e-06,FAIL
5,5,0.1544502617801047,2024-12-23 07:16:28.803769,2024-12-23 07:28:29.932735,0 days 00:12:01.128966,0.2673689375440428,0.3143239540365813,0.8431101687135492,0.9061926492120479,0.0005860413786809654,,0.9607758090401006,sgd,step,38.0,,4.057988266091489e-06,PRUNED
6,6,0.8455497382198953,2024-12-23 07:28:30.020735,2024-12-23 07:45:11.287809,0 days 00:16:41.267074,0.36175391811403423,,0.07190212442432846,0.7333437680818202,1.626287983845953e-05,4.555979728870218e-06,,adam,cosine,,17.0,3.0170492161535534e-06,COMPLETE
7,7,0.1544502617801047,2024-12-23 07:45:11.348455,2024-12-23 07:56:54.608689,0 days 00:11:43.260234,0.15531080383394374,0.47362014506032935,0.2420376077324471,0.17109918946995614,0.002639026397776784,,0.9393314153034734,sgd,step,29.0,,5.042946701614639e-05,PRUNED
8,8,0.13513513513513514,2024-12-23 18:08:17.501472,2024-12-23 18:09:39.557356,0 days 00:01:22.055884,0.30956419547826997,0.38053088696968496,0.17353468350786339,0.8050401657727496,9.28021410989286e-05,,0.9181015767051052,sgd,step,41.0,,0.0006299079177172514,PRUNED
9,9,0.8648648648648649,2024-12-23 18:09:39.622353,2024-12-23 18:11:22.831229,0 days 00:01:43.208876,0.3948660617789579,,0.7132513757876531,0.6425233399533232,0.00031843752738463187,2.106195206434964e-05,0.9362896355799037,sgd,cosine,,13.0,8.403825979841495e-06,COMPLETE
10,10,0.13513513513513514,2024-12-23 18:11:22.887225,2024-12-23 18:12:37.029142,0 days 00:01:14.141917,0.4712249427286591,,0.12360686944228427,0.4663032310700298,0.0006736590816686695,3.1527966516497187e-06,,adam,cosine,,10.0,0.00010949584942364462,PRUNED
11,11,0.13513513513513514,2024-12-23 18:12:37.077142,2024-12-23 18:13:51.354744,0 days 00:01:14.277602,0.22572296881665146,0.10424697181923377,0.6686379950923396,0.37783191930978643,0.0035555320478647162,,,adam,step,40.0,,2.8048689985601404e-06,PRUNED
12,12,0.13513513513513514,2024-12-23 18:13:51.399744,2024-12-23 18:15:04.097382,0 days 00:01:12.697638,0.10574606672051381,,0.4059113097483933,0.08252302780328957,0.009298274932730203,9.006929458691567e-05,,adam,cosine,,5.0,0.0003550812583290464,PRUNED
13,13,0.13513513513513514,2024-12-23 18:15:04.137382,2024-12-23 18:16:18.677084,0 days 00:01:14.539702,0.4246861779550605,,0.9628887230999997,0.6066528740052478,0.00015846391117534008,3.228249073924715e-05,,adam,cosine,,15.0,1.076039409341261e-05,PRUNED
14,14,0.13513513513513514,2024-12-23 18:16:18.743082,2024-12-23 18:17:33.365837,0 days 00:01:14.622755,0.40121726006905545,,0.6736846131952107,0.28148745104171835,5.1532579300718344e-05,1.8014409532051775e-05,,adam,cosine,,20.0,1.0161759291635042e-06,PRUNED
15,15,0.13513513513513514,2024-12-23 18:17:33.405836,2024-12-23 18:18:49.350629,0 days 00:01:15.944793,0.21154333988590407,,0.39592937127982863,0.6539063580565914,0.0002906900352318778,1.186411861745973e-06,0.8102605665593017,sgd,cosine,,10.0,1.0163904483654472e-05,PRUNED
16,16,0.8648648648648649,2024-12-23 18:18:49.397628,2024-12-23 18:20:34.730390,0 days 00:01:45.332762,0.49732501629255543,0.14402377242632886,0.698205742987897,0.4569112861770618,0.008311520459886241,,0.9853515518713651,sgd,step,9.0,,1.3097717393003004e-05,COMPLETE
17,17,,2024-12-23 18:20:34.787390,2024-12-23 18:21:25.026354,0 days 00:00:50.238964,0.36878520136659326,,0.4576433836527826,0.3033412230723854,1.0685585546789045e-05,4.636209812006114e-05,,adam,cosine,,12.0,0.00016276456516487334,FAIL
18,18,0.25,2024-12-23 18:27:01.776296,2024-12-23 18:30:45.534714,0 days 00:03:43.758418,0.20038879657941144,,0.5481220702886289,0.2857116683409592,1.0159175629803692e-05,4.050738493680529e-05,,adam,cosine,,12.0,0.0001693111873119959,PRUNED
